country,iso3,indicator_abbr,dimension,year,mean,SII,SII_se,RII,CI,CI_se,CI_Wagstaff,n_sub,gdp_pc_usd,gini,urban_pct,health_exp_pct
Ghana,GHA,smoked,wealth,2022,1.9432368964869433,-1.1914676858969833,0.6883395256678814,0.5307280752034512,-0.09792145437664335,0.05657157827791523,-0.09986200979658397,5,2390.77237652715,43.5,58.3654868038581,2.94686937
Guatemala,GTM,smoked,education,2015,7.2010536318157685,2.310409881271022,1.970116011707776,1.3821481481403048,0.04596512445215504,0.03919504863505587,0.049531946483299734,4,6150.02571438505,45.2,55.9547027274763,6.80241346
Guatemala,GTM,smoked,residence,2015,7.223426495248742,2.172490231335964,0.0,1.353988271971908,0.03725505347532701,8.25233743652822e-17,0.04015566868657756,2,6150.02571438505,45.2,55.9547027274763,6.80241346
Guatemala,GTM,smoked,wealth,2015,7.195288002012241,1.4375459562663269,0.7835167822787678,1.221962884509039,0.03192931846919503,0.017402683203473927,0.034404846243030564,5,6150.02571438505,45.2,55.9547027274763,6.80241346
Guinea,GIN,smoked,education,2005,0.7723283882323358,0.6300501006629368,0.2831310174939426,2.377750933450472,0.07238549309061848,0.03252848985974809,0.3179381589501238,4,1694.95375862193,29.6,38.0713036688655,3.69442987
Guinea,GIN,smoked,education,2018,3.855902250448709,1.6850694938186048,0.944036839164126,1.5591981369147223,0.054004194817981216,0.030255101979229662,0.05617005732235212,4,1694.95375862193,29.6,38.0713036688655,3.69442987
Guinea,GIN,smoked,residence,2005,0.7661805380940407,3.0000000000000004,5.707941797456103e-16,-3.0881990131578956,0.41934982603648235,7.468098848039416e-17,1.7934769955340255,2,1694.95375862193,29.6,38.0713036688655,3.69442987
Guinea,GIN,smoked,residence,2018,3.861369598232776,-1.305887354037904,3.0596941087640737e-15,0.7107229218678703,-0.040272625280860314,9.56154408988773e-17,-0.04189015915096708,2,1694.95375862193,29.6,38.0713036688655,3.69442987
Guinea,GIN,smoked,wealth,2005,0.7824993713854664,2.2336108875973673,1.1362332962182382,-5.681335075590628,0.45662364589319165,0.2322835159809338,2.0994129938927437,5,1694.95375862193,29.6,38.0713036688655,3.69442987
Guinea,GIN,smoked,wealth,2018,3.8493614965141165,-1.3437832169314596,0.4115848065806655,0.7027852266329935,-0.05577803525049652,0.017084148366169182,-0.05801109188523415,5,1694.95375862193,29.6,38.0713036688655,3.69442987
Guyana,GUY,smoked,education,2009,14.27854208240404,-15.661413227727584,0.986784407839897,0.2916352137116573,-0.11661172737006735,0.007347397879543442,-0.1360356323875945,4,29675.2443873316,,26.477717988557,2.46673751
Guyana,GUY,smoked,residence,2009,14.254273303592392,-5.59944421337442,1.574745249293552e-14,0.6716637902928452,-0.03998799590429387,0.0,-0.04663555543225596,2,29675.2443873316,,26.477717988557,2.46673751
Guyana,GUY,smoked,wealth,2009,14.261629681812845,-18.53141406982881,5.063213929280246,0.21234543913958978,-0.20769980213819692,0.05674842337083376,-0.24224836717492265,5,29675.2443873316,,26.477717988557,2.46673751
Haiti,HTI,smoked,education,2000,5.964150215916102,-8.9002971114802,2.513216240744681,0.14537720622117595,-0.21756392459059,0.06143448716739389,-0.2313627463250871,4,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,education,2006,3.6611229896811377,-6.731647982302095,3.5343841549747244,0.04202379772262344,-0.2715918048775693,0.1425965490625667,-0.28191298601963055,4,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,education,2012,5.6823335240526385,-6.653040531036854,2.7710894269039112,0.2614997771704738,-0.16839032980082533,0.07013705392701228,-0.17853530106554086,4,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,education,2016,4.175644038487119,-4.434519766324671,1.8786083332777284,0.30633717936738436,-0.14933104579612333,0.06326153942982247,-0.1558382984135067,4,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,residence,2000,5.95409886635305,-5.254865766106816,5.45473595365764e-15,0.3876541019066592,-0.10882632624764428,1.828087987258341e-16,-0.11571618213641564,2,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,residence,2006,3.641665891977317,-2.399999999999996,3.561311002955373e-15,0.5043028466758067,-0.08198261548260999,0.0,-0.0850809805311736,2,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,residence,2012,5.669961709431804,-1.4132630259970607,2.4372960781400564e-15,0.7783670720870575,-0.0310356208073107,0.0,-0.03290110061411251,2,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,residence,2016,4.146209098164405,2.0684494489053864,2.749881043263418e-15,1.6646721835682983,0.061970369084972436,7.55757423327959e-17,0.06465093190569442,2,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,wealth,2000,5.957605677260104,-5.2711441855497485,1.866267410579842,0.3865896497648863,-0.14093638420045207,0.04989902980064868,-0.1498647341078735,5,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,wealth,2006,3.6721922647824474,-3.346747161026974,1.845386893703987,0.37392087986866884,-0.14500124276446846,0.0799532740579752,-0.1505289554217228,5,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,wealth,2012,5.684252453677214,-3.7378983171572435,1.2310020322585393,0.5051239846302893,-0.10479748412835233,0.03451295487237754,-0.11111345332536487,5,2142.62330526788,41.1,55.0372652481002,3.19156528
Haiti,HTI,smoked,wealth,2016,4.15565063178896,-1.7903393180986735,1.096631510744508,0.6455349398698312,-0.06865140590685642,0.04205085271451371,-0.07162801600657141,5,2142.62330526788,41.1,55.0372652481002,3.19156528
