country,iso3,year,indicator_abbr,dimension,subgroup,order,estimate,population,data_source,gdp_pc_usd,gini,urban_pct,health_exp_pct
Benin,BEN,2017,smoked,residence,Rural,1,3.5925629993853714,13016.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,residence,Urban,2,2.1835754305872586,9638.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,wealth,Fourth,4,1.6088310038119442,4722.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,wealth,Highest,5,1.4096378616593217,5219.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,wealth,Lowest,1,5.289982425307557,3983.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,wealth,Middle,3,2.5153214774281807,4386.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Benin,BEN,2017,smoked,wealth,Second,2,4.800115074798619,4345.0,DHS,1485.38018885134,34.4,52.5455354818423,3.33732462
Bolivia,BOL,2008,smoked,education,Higher,4,16.0,2984.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,education,No education,1,8.4,776.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,education,Primary,2,6.3,6968.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,education,Secondary,3,7.8,6212.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,residence,Rural,1,5.700000000000001,5756.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,residence,Urban,2,10.1,11183.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,wealth,Fourth,4,8.0,3834.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,wealth,Highest,5,14.8,4087.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,wealth,Lowest,1,6.2,2625.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,wealth,Middle,3,6.700000000000001,3483.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Bolivia,BOL,2008,smoked,wealth,Second,2,5.3,2911.0,DHS,4421.16609889999,40.9,71.2361453773988,6.91864729
Burkina Faso,BFA,2003,smoked,education,Higher,4,0.0,74.0,DHS,981.992649769081,37.4,28.3352514896662,7.79943228
Burkina Faso,BFA,2003,smoked,education,No education,1,0.1,10016.0,DHS,981.992649769081,37.4,28.3352514896662,7.79943228
Burkina Faso,BFA,2003,smoked,education,Primary,2,0.0999999999999999,1376.0,DHS,981.992649769081,37.4,28.3352514896662,7.79943228
Burkina Faso,BFA,2003,smoked,education,Secondary,3,0.1,1011.0,DHS,981.992649769081,37.4,28.3352514896662,7.79943228
Burkina Faso,BFA,2003,smoked,residence,Rural,1,0.1,9780.0,DHS,981.992649769081,37.4,28.3352514896662,7.79943228
