country,iso3,year,indicator_abbr,dimension,subgroup,order,estimate,population,data_source
PAN,PAN,2019,smokeless,sex,SEX_MLE,1,1.2,,GHO
BRA,BRA,2013,smokeless,sex,SEX_BTSX,1,0.3,,GHO
SYC,SYC,2013,smokeless,sex,SEX_FMLE,1,0.4,,GHO
GRD,GRD,2011,smokeless,sex,SEX_MLE,1,2.2,,GHO
CHE,CHE,2022,smokeless,sex,SEX_MLE,1,7.1,,GHO
VCT,VCT,2014,smokeless,sex,SEX_FMLE,1,0.0,,GHO
COM,COM,2015,smoked,sex,SEX_MLE,1,17.9,,GHO
ALB,ALB,2023,smoked,sex,SEX_FMLE,1,6.2,,GHO
PNG,PNG,2010,smoked,sex,SEX_FMLE,1,30.1,,GHO
PAN,PAN,2020,smoked,sex,SEX_BTSX,1,5.4,,GHO
SVN,SVN,2015,smoked,sex,SEX_FMLE,1,20.7,,GHO
PHL,PHL,2022,smoked,sex,SEX_MLE,1,36.9,,GHO
KEN,KEN,2010,smoked,sex,SEX_FMLE,1,1.5,,GHO
KOR,KOR,2020,smoked,sex,SEX_BTSX,1,20.6,,GHO
MRT,MRT,2020,smoked,sex,SEX_BTSX,1,9.7,,GHO
NPL,NPL,2010,smoked,sex,SEX_BTSX,1,27.5,,GHO
PRK,PRK,2022,smoked,sex,SEX_MLE,1,32.9,,GHO
AND,AND,2023,smoked,sex,SEX_BTSX,1,35.5,,GHO
UZB,UZB,2024,smoked,sex,SEX_MLE,1,19.3,,GHO
SLV,SLV,2025,smoked,sex,SEX_BTSX,1,7.9,,GHO
ZMB,ZMB,2024,smoked,sex,SEX_BTSX,1,12.6,,GHO
VNM,VNM,2030,smoked,sex,SEX_MLE,1,37.8,,GHO
MUS,MUS,2015,smoked,sex,SEX_MLE,1,37.8,,GHO
LAO,LAO,2030,smoked,sex,SEX_FMLE,1,3.3,,GHO
ARM,ARM,2024,smoked,sex,SEX_MLE,1,50.5,,GHO
EGY,EGY,2025,smoked,sex,SEX_MLE,1,50.4,,GHO
MUS,MUS,2010,smoked,sex,SEX_BTSX,1,22.5,,GHO
EST,EST,2024,smoked,sex,SEX_BTSX,1,24.0,,GHO
PRY,PRY,2010,smoked,sex,SEX_FMLE,1,7.3,,GHO
COK,COK,2023,smoked,sex,SEX_MLE,1,32.8,,GHO
MYS,MYS,2030,smoked,sex,SEX_FMLE,1,0.3,,GHO
PHL,PHL,2022,smoked,sex,SEX_FMLE,1,4.9,,GHO
MUS,MUS,2030,smoked,sex,SEX_BTSX,1,16.0,,GHO
BRN,BRN,2024,smoked,sex,SEX_BTSX,1,14.5,,GHO
LTU,LTU,2015,smoked,sex,SEX_MLE,1,40.9,,GHO
PAN,PAN,2025,smoked,sex,SEX_FMLE,1,1.8,,GHO
ARG,ARG,2025,smoked,sex,SEX_MLE,1,26.8,,GHO
LCA,LCA,2025,smoked,sex,SEX_BTSX,1,13.7,,GHO
TUV,TUV,2025,smoked,sex,SEX_FMLE,1,18.9,,GHO
CIV,CIV,2022,smoked,sex,SEX_BTSX,1,7.7,,GHO
AUT,AUT,2010,smoked,sex,SEX_MLE,1,38.4,,GHO
THA,THA,2015,smoked,sex,SEX_MLE,1,39.7,,GHO
ISR,ISR,2015,smoked,sex,SEX_MLE,1,31.8,,GHO
BWA,BWA,2022,smoked,sex,SEX_BTSX,1,15.1,,GHO
